match,count
"SVC(gamma=0.001, kernel='rbf', C=100)",2
SVC(random_state=0),2
SVC(tmp_options),2
"SVC(kernel='linear', C=c, probability=True)",2
"SVC(kernel=""linear"", C=1, probability=True)",2
"SVC(kernel ='rbf',C=1,gamma=0.001)",2
"SVC(kernel = ""rbf"",C = c, gamma = g)",2
"SVC(probability=False,random_state=33,kernel='linear',shrinking=True)",2
"SVC(kernel=kernel.arc_cosine, cache_size=2048)",2
SVC(C=0.75),2
"SVC(C=C, kernel='rbf', class_weight='auto', probability=returnProb)",2
"SVC(C=self.C, gamma=self.gamma, probability=True)",2
"SVC(kernel=kernel, degree=degree)",2
"SVC(kernel='linear', C=reg)",2
"SVC(C=0.01, kernel='linear', random_state=0)",2
"SVC(kernel='rbf',gamma=1,C=1)",2
"SVC(C=2, probability=True)",2
"SVC(gamma=0.001,C=100.)",2
"SVC(probability=True,random_state=np.random.RandomState(8)",2
"SVC(kernel='rbf', C=powc, gamma=powg)",2
"SVC(kernel = 'linear', probability = True, random_state = 0)",2
"SVC(C=C, kernel='linear', max_iter=200)",2
"SVC(C=5., gamma=0.001)",2
SVC(self),2
"SVC(C=C, kernel='rbf', gamma=gamma)",2
"SVC(C=C, kernel='linear')",2
SVC(random_state=self.__seed),2
"SVC(C=10, kernel='linear')",2
SVC(gamma=1e-8),2
SVC(verbose = True),2
"SVC(kernel='rbf',C=10.0, gamma=0.0, verbose = 0, probability=True)",2
SVC(kernel=krnl),2
"SVC(gamma=.001, C=100)",2
"SVC(kernel=kernel, probability=True)",2
"SVC(decision_function_shape='ovr', kernel = 'rbf')",2
"SVC(C = 1000, kernel = 'linear')",2
"SVC(C=10.0, random_state=1234)",2
"SVC(SparseBaseLibSVM, BaseSVC)",2
SVC(tol=0.0001),2
"SVC(kernel='linear', C=penalty)",2
"SVC(probability=True, class_weight=""auto"")",2
"SVC(kernel='linear', probability=compute_probas)",2
"SVC(C=10 ** logC, gamma=10 ** logGamma)",2
"SVC(kernel='rbf',C=10,probability=True,verbose=True)",2
"SVC(C=1.0, kernel='linear', probability=True)",2
"SVC(kernel='rbf', gamma=0.7, C=0.5)",2
"SVC(kernel='rbf', random_state=0, gamma=0.10, C=10.0)",2
SVC(gamma=1.0),2
SVC(class_weight='balanced'),2
"SVC(kernel=""linear"", C=0.0205)",2
"SVC(gamma=0.001,probability=True)",2
"SVC(kernel=""linear"",class_weight=""auto"",probability=True)",2
"SVC(kernel='rbf' ,probability=True, max_iter=1000)",2
"SVC(kernel='linear',C=1)",2
"SVC(C=svm_c,gamma=svm_gamma)",2
"SVC(kernel='linear', C=0.1)",2
"SVC(kernel='rbf', gamma=0.05, C=401)",2
"SVC(kernel='rbf',gamma=0.1,C=1)",2
SVC(gamma = 0.001),2
"SVC(kernel = 'linear', random_state = 0)",2
"SVC(C=100000, kernel='linear', random_state=241)",2
SVC(kernel=kernel.arc_cosine),2
"SVC(kernel='rbf', gamma=0.01, C=100, probability=True)",2
"SVC(class_weight=weights, **self._clf_kwargs)",2
SVC(random_state=RND_SEED),2
SVC(random_state=seed),2
"SVC(kernel=""linear"", C=0.025, cache_size=200)",2
SVC(with probas=True),2
"SVC(probability=True, kernel='rbf', C=10,gamma=0.001)",2
SVC (Switched Virtual Circuit),2
"SVC(kernel='linear', class_weight=""auto"", random_state=0)",2
SVC(**hparams),2
"SVC(kernel=""rbf"", C=controlTradeOff)",2
"SVC(C=C,kernel='linear',verbose=True)",2
"SVC(C=C,gamma=gamma,kernel='rbf',tol=0.00001,verbose=True)",2
"SVC(probability=True, verbose=False, cache_size=2000)",2
"SVC(C=1.0, kernel='rbf', gamma=0.7)",2
"SVC(kernel='linear', **vars(args)",2
"SVC(C = c, kernel = 'rbf', gamma=1.0)",2
"SVC(kernel = 'rbf', gamma = 0.005)",2
"SVC(kernel='linear', random_state=42)",2
"SVC(C = cValue , kernel='rbf', gamma = gammaValue , tol=0.1)",2
"SVC(kernel=""poly"", degree=degree, C=C, gamma=gamma, probability=True)",2
"SVC(kernel=""rbf"", probability=True C=1000.0, gamma=0.1)",2
SVC(kernel=choise),2
"SVC(C=1.0,kernel='linear')",2
"SVC( xM, yVc, params)",2
"SVC(C=100, cache_size=200, class_weight=None, coef0=0.0, degree=3,gamma=0.001, kernel=""rbf"", max_iter=-1, probability=False,random_state=None, shrinking=True, tol=0.001, verbose=False)",2
"SVC(kernel='rbf', gamma=1e-5, C=20)",2
"SVC(kernel='poly', degree=3)",2
"SVC(cpu, op)",2
"SVC(C=10,gamma=0.0029)",2
"SVC( X, y, params, n_splits = 5)",2
"SVC(C=c,gamma=g)",2
"SVC(kernel='linear', C=0.05)",2
SVC(cache_size=2000),2
"SVC( kernel=kernel, probability=True, C=c, cache_size=500 )",2
"SVC(kernel='linear', probability=False)",2
"SVC(kernel='linear', C=1, verbose=False)",2
"SVC(probability=True, class_weight={0:1, 1:5})",2
"SVC(kernel = 'precomputed', C = REG_C, max_iter = 10000)",2
"SVC(kernel = 'rbf', probability = True, random_state = 0)",2
"SVC(C=1000000.0, gamma=0.0, kernel='rbf')",2
"SVC(kernel='linear',probability=True)",2
"SVC(C= C ,gamma = gamma,class_weight = class_weight)",2
SVC(C=self.C),2
"SVC(kernel=""rbf"", C=C, gamma=gamma)",1
"SVC(kernel=""poly"", degree=3, C=C)",1
"SVC(kernel='poly',tol=1e-2, verbose=False)",1
"SVC(kernel='rbf', probability=False)",1
"SVC(C=0.5, probability=True)",1
"SVC(cache_size=6000, verbose=True)",1
"SVC(kernel='rbf', C=float(parameters)",1
"SVC(kernel = 'rbf', C = self.param1, gamma = self.param2, probability = True, cache_size = 2048, random_state = 2512 )",1
"SVC(kernel=""rbf"",C=10000)",1
"SVC(C=1000, kernel=_histogramIntersectionKernel, scale_C=True)",1
"SVC(gamma=0.0001, C=50, probability=True)",1
"SVC(C=reg_param, kernel='rbf', gamma=bandwidth, class_weight={1: 1./frac_pos})",1
"SVC(gamma=0.001, C=1.)",1
"SVC(kernel='rbf', random_state=0, gamma = gamma_in, C=C_in, probability=True)",1
"SVC(kernel=args.param, probability=True)",1
"SVC(kernel='rbf',degree=2, probability=True, class_weight={1:1})",1
"SVC(kernel='linear', C=C, probability=True, random_state=0)",1
"SVC(C=1, gamma=100.)",1
"SVC(kernel='rbf', C=1, gamma=10)",1
"SVC(C=32., kernel='rbf', gamma=8.)",1
"SVC(probability = True, kernel = 'linear', C = 1)",1
"SVC(C=regularizer, kernel='linear', probability=True, random_state=0, verbose=False)",1
"SVC(kernel='rbf', gamma=1e-5)",1
"SVC(C=10.0, gamma=10)",1
"SVC(kernel='rbf', gamma=20.0, class_weight='auto')",1
"SVC(gamma=0.001, C=100., class_weight='balanced')",1
"SVC(cache_size=3000, C=1)",1
SVC(C=100),1
"SVC(C=3.4, gamma=0.0285, cache_size=1000)",1
"SVC(kernel='rbf',gamma=gamma,C=C_vals[i])",1
"SVC(kernel='rbf', gamma=1.5)",1
"SVC(gamma=0.1, kernel='poly')",1
"SVC(C=1000, degree=2, kernel='linear')",1
"SVC(C=2., kernel='poly', degree=11, gamma=1./2048., coef0=1)",1
SVC(random_state = random_state),1
"SVC(C={C}, kernel='{kernel}', degree=3, gamma='auto', coef0=0.0, shrinking={shrinking}, tol={tol}, cache_size=200, class_weight={class_weight}, verbose=False, max_iter=-1, decision_function_shape='ovr', probability=True, random_state=R_SEED)",1
"SVC(C=10, kernel='linear', shrinking=True, probability=True, tol=0.001, cache_size=200)",1
"SVC(C=100, cache_size=200, class_weight=None, coef0=0.0, degree=3, gamma=0.2, kernel='rbf', max_iter=-1, probability=True, random_state=None, shrinking=True, tol=0.001, verbose=False)",1
"SVC(kernel=self.kernel,C=lmbda)",1
"SVC(C=c, kernel=k, degree=d, gamma=g, coef0=r)",1
"SVC(kernel=""rbf"", C=10000.0)",1
SVC(**classi_params),1
SVC(BaseLearner),1
"SVC(gamma=0.001, C=10)",1
"SVC(C=self.C, kernel=self.kernel.compute)",1
"SVC(kernel = 'linear', C=1e6)",1
"SVC(kernel=""rbf"", gamma=1.0)",1
"SVC(kernel = 'linear', C = 1)",1
"SVC (i.e., Soft PVC)",1
"SVC(C=C, kernel='linear', tol=1e-3, max_iter=20)",1
"SVC(C=8, gamma=0.17)",1
"SVC(C=10,kernel='precomputed')",1
"SVC(kernel='rbf', probability=True, shrinking=True)",1
"SVC(C=c, gamma=g)",1
SVC(verbose=False),1
"SVC(C=5, kernel='poly', degree=4)",1
"SVC(kernel=svmKern, gamma=svmGamma, C=svmC)",1
SVC(random_state=241),1
SVC(kernel=kernel_type),1
"SVC(probability=True, verbose=True)",1
"SVC(kernel='poly',degree=2)",1
SVC        (multi-class classification),1
"SVC(kernel = 'linear', C = 0.025)",1
"SVC(C=C, kernel='precomputed', class_weight='auto')",1
SVC(**svc_parameters),1
"SVC(*args, **local_kwargs)",1
"SVC(C=100, gamma=.01, probability=True, scale_C=True)",1
"SVC(kernel='rbf',C=1)",1
"SVC(C=C, kernel = 'precomputed',verbose=True,class_weight='balanced')",1
"SVC(degree=100, C=10000, epsilon=.01)",1
"SVC(C=1.0,kernel=""linear"")",1
"SVC(kernel=""rbf"", verbose=True, decision_function_shape='ovo', probability=True, cache_size=1500)",1
"SVC(class_weight=class_weight,verbose=1, C=C, gamma=gamma)",1
"SVC(c, kernel='linear', tol=1e-3)",1
"SVC(probability=True,C=svm_C, coef0=acoef0, gamma=agamma)",1
"SVC(C=tC, kernel='rbf', gamma=1.0/tSigma, max_iter=200)",1
"SVC(C=C, kernel='linear', verbose=False)",1
"SVC(kernel='rbf', gamma=0.0001, C=1000000.0)",1
SVC (Suppot Vector Classifier),1
"SVC(probability=True, C=1.0, kernel='rbf', class_weight={1: 1.0, 0:1.0})",1
"SVC(kernel='rbf', gamma =1.0,C=1)",1
"SVC(kernel='precomputed', probability=True)",1
"SVC(kernel='rbf', gamma=3)",1
SVC (Classifier),1
"SVC(cache_size=1000,C=1.0)",1
"SVC(kernel='rbf', C=5000)",1
"SVC(C=20, gamma=1.5e-04)",1
SVC (imm8),1
SVC(kernel=self.kernel),1
"SVC(C=cost,kernel='linear')",1
SVC(C=10.0),1
"SVC(tol=1e-3,kernel='rbf',cache_size=500)",1
"SVC(kernel='poly',**job)",1
"SVC(kernel=""rbf"", C=100000)",1
"SVC(C=512, kernel=""rbf"")",1
"SVC(kernel='linear', degree=3, cache_size=1000)",1
"SVC(C=0.1, kernel='rbf')",1
"SVC(kernel=self.kernel, C=self.c)",1
SVC(**params_used),1
"SVC(kernel='rbf', gamma=0.05, C=401, probability=True)",1
"SVC(C=100, kernel='rbf', gamma=0.001)",1
SVC(C = 0.1),1
"SVC(degree=degree,kernel=kernel)",1
"SVC(C = 1, gamma = 0.001, kernel = 'rbf')",1
"SVC(C=10.0, gamma=1e-6, class_weight='auto')",1
"SVC(C=1, kernel='linear', probability=False)",1
"SVC(C=32768.0, gamma=0.001953125)",1
SVC(random_state=7),1
"SVC(C=c, kernel='precomputed',max_iter=10000000)",1
SVC(C=1000),1
"SVC(C=10, gamma=gamma)",1
"SVC(kernel='rbf', gamma=0.01, C=100, cache_size=2000)",1
"SVC(self.svc, max_iter=2**20)",1
"SVC(C=10, kernel='linear', class_weight='balanced')",1
SVC(C=35),1
SVC (SVM Multi classifier),1
"SVC(gamma=gamma, C=C, probability=True, cache_size=500, random_state=0)",1
SVC(gamma=0.00000001),1
"SVC(kernel='rbf', probability=probability, class_weight='balanced')",1
"SVC(probability=True, C=options.svm_c, kernel=""linear"")",1
"SVC(C = parameter_C, gamma = parameter_gamma)",1
"SVC(C=1.0, kernel='precomputed')",1
"SVC(kernel='rbf', gamma='0.001', C='1000')",1
"SVC(C=0.001, degree=2, kernel='poly')",1
SVC(**libsvm_default_param),1
"SVC(verbose = 2, probability = True, C = 100.)",1
"SVC(C=c, kernel='rbf', degree=3, gamma=0.0, coef0=0.0, shrinking=True, probability=False, tol=0.001, cache_size=200, class_weight=None, verbose=False, max_iter=-1, random_state=None)",1
"SVC(kernel='linear', C=1.0, random_state = 0)",1
"SVC(kernel='rbf',gamma=0.01,C=100,max_iter=-1,class_weight='balanced')",1
"SVC(kernel=""rbf"", C=self.regConst.value()",1
"SVC(class_weight='balanced', C=1.0)",1
"SVC(kernel=kernel, gamma=3)",1
"SVC(kernel='rbf', C=10.0, gamma=0.10, random_state=0)",1
SVC(**self._models['svm']),1
"SVC(C=0.0125,kernel='linear',verbose=False)",1
"SVC(random_state=0, probability=True, **kwargs)",1
"SVC(C=cost, kernel='rbf', max_iter=max_iter, gamma=gamma, tol=tol)",1
"SVC(C=10**svmparams[p],gamma=10**rbfparams[r])",1
"SVC(kernel=""linear"", gamma=1.0)",1
"SVC(kernel=""linear"",probability=True)",1
"SVC(kernel='linear',verbose=0)",1
"SVC(C=C,kernel=kernel)",1
"SVC(C = 5., gamma =0.001)",1
"SVC(kernel='rbf', random_state=0)",1
"SVC(gamma=.001, C=100.)",1
"SVC(kernel='rbf', C=reg, cache_size=1000)",1
"SVC(C=SVM_C, random_state=SEED, kernel='linear')",1
"SVC(kernel='linear', C=1.)",1
"SVC(kernel=kernel,gamma=3)",1
"SVC(kernel = 'rbf', gamma = 1000)",1
"SVC(C=2000.0, class_weight=""balanced"", gamma = 0.01,probability=True)",1
"SVC(kernel=""rbf"", class_weight=""auto"", cache_size=1400, shrinking=True)",1
"SVC(kernel='linear', probability=True, verbose=verbose)",1
"SVC(C=1., kernel='rbf', gamma=0.001, random_state=0)",1
"SVC(kernel='rbf', C=1000,gamma=1.0)",1
"SVC(probability=probability, gamma=svmgamma, C=svmC)",1
"SVC(C = C, gamma = gamma, kernel = 'rbf')",1
"SVC(C=1, kernel='linear', probability=True, class_weight='auto')",1
"SVC(C=C,kernel='rbf',degree=3)",1
"SVC(C=1, probability=True, class_weight='balanced')",1
SVC(random_state = 1),1
"SVC(kernel='linear', probability=True, random_state=0, C=c)",1
"SVC(C=C, kernel=kernel, gamma=gamma)",1
"SVC(kernel='rbf', C=20, gamma=0.15, probability=True)",1
"SVC(kernel='rbf', gamma=0.0001, C=44, class_weight='balanced')",1
"SVC(kernel=""poly"",degree=10,C=1)",1
SVC(random_state=my_random_seed),1
"SVC(kernel='rbf', cache_size=500)",1
"SVC(kernel='poly', degree=4)",1
"SVC(gamma=gamma, random_state=0)",1
SVC(C={C}),1
"SVC(C=svm_c, kernel=kernel, probability=True)",1
"SVC(kernel='rbf',probability=True,cache_size=2000)",1
"SVC(self, args)",1
"SVC(kernel='rbf', gamma=0.001, C=10, decision_function_shape='ovr')",1
SVC(kernel=RBF(),1
SVC( kernel='rbf' ),1
"SVC(probability=True,kernel='linear',C=0.0011253,random_state=1)",1
"SVC(kernel=""linear"",gamma=0.01, C=250, class_weight='balanced')",1
"SVC(C=1000.0, class_weight=getClassWeights()",1
SVC(probability=1),1
"SVC(c, kernel='linear')",1
"SVC(kernel=""linear"", C=C, probability=True)",1
"SVC(C=5, kernel='poly', degree=4, probability=True)",1
"SVC(kernel='rbf', C=10, gamma=0.01)",1
"SVC(kernel='linear', C=2)",1
"SVC(kernel=""linear"",C=1.0)",1
SVC(C=0.025),1
"SVC(kernel=""rbf"", gamma=gamma, C=self.C)",1
"SVC(C=1.6,gamma=0.002)",1
"SVC(kernel = 'linear', C = 2 ** 15)",1
"SVC(kernel=intersection_kernel, C=1e0)",1
"SVC(kernel='rbf',class_weight={'1':weightNormal,'-1':weightFake})",1
"SVC(kernel='linear', probability=True, decision_function_shape='ovr', class_weight=class_wt)",1
"SVC(kernel=krnl, C=c, probability=prob)",1
"SVC(kernel=kernel, verbose=False, C=c, gamma=gamma, class_weight='balanced', max_iter=-1, tol=1e-3)",1
"SVC(kernel='rbf',gamma=0.001,C=0.1)",1
"SVC(kernel='linear', C=10000000)",1
"SVC(kernel='rbf', gamma=0.01, cache_size=1000)",1
"SVC(shrinking=True, probability=True, class_weight={1: 1/numpy.average(y_train)",1
SVC(C=config.svm_C),1
"SVC(kernel='rbf', probability = True,class_weight=self.class_weight)",1
"SVC(kernel=clstype, C=20, gamma=0.001, cache_size=100000., probability=True)",1
"SVC(C=c, kernel='precomputed',probability=True)",1
"SVC(C = 1.0, kernel = 'rbf', probability = True)",1
SVC('ovr'),1
"SVC(kernel='rbf',verbose=True)",1
"SVC(kernel='rbf', C=2, gamma=1)",1
SVC(kernel=k),1
"SVC(C=1.0, kernel='rbf', degree=3, gamma=0.003, verbose=False)",1
"SVC(kernel='linear', random_state=0)",1
"SVC(C=32, gamma=0.5)",1
"SVC(kernel='rbf',random_state = 0,gamma=0.10,C=10.0)",1
"SVC(kernel='rbf', C=C, gamma=gamma)",1
"SVC(gamma=0.001, C=100., kernel='linear', probability=True)",1
"SVC(C=9.0, kernel='rbf', degree=3, gamma=0.0, coef0=0.0, shrinking=True, probability=False, tol=0.001, cache_size=200, class_weight=None, verbose=False, max_iter=-1, random_state=None)",1
SVC(cache_size=1024),1
"SVC(kernel = 'linear', random_state = 84)",1
SVC(test_Suite),1
"SVC(kernel=kernel, gamma=0.7, C=c,probability=True)",1
"SVC(C=10**C, gamma=10**gamma)",1
"SVC(C=16.91,gamma=0.00928,probability=True, cache_size=7000)",1
"SVC(C=10.0, gamma=0.5, kernel=""rbf"", random_state=0)",1
"SVC(C=150, gamma=2e-2, probability=True)",1
"SVC(kernel='linear', C=1e3)",1
"SVC(C=reg, kernel=k, degree=deg)",1
"SVC(probability=probability, cache_size=cache_size, **svm_kwargs)",1
"SVC(kernel='rbf', degree=5)",1
"SVC(C=C, kernel=svm_model)",1
"SVC(C=.5, kernel='linear', class_weight='balanced')",1
SVC(C = 10.0),1
"SVC(kernel=""rbf"", C=100.0)",1
"SVC(gamma=0.0003, C=1.2)",1
"SVC(kernel = 'linear', C=c)",1
"SVC(C=cost, gamma=g, kernel='rbf')",1
"SVC(C=11,kernel=""linear"",probability=True)",1
"SVC(kernel=""rbf"", gamma=gamma_values[i], C=c_values[j])",1
SVC(C=0.1),1
"SVC(kernel=k, C=c, degree=d)",1
"SVC(kernel='poly', C=10000000, gamma=1, degree=K, coef0=1)",1
"SVC(kernel='rbf', gamma=svm_gamma, C=C)",1
"SVC(kernel=str(""rbf"")",1
SVC( C=1000),1
"SVC(kernel='rbf', gamma=0.0025, C=12)",1
"SVC(probability=True, verbose=False)",1
"SVC(C=10, gamma=C)",1
"SVC(probability=True, class_weight='auto', C=2)",1
"SVC(C = c, kernel = 'rbf', gamma = r, cache_size = 2048.0)",1
SVC(max_iter=SVC_MAX_ITER),1
SVC(cache_size=200),1
"SVC(kernel=""linear"", probability=False, class_weight='auto')",1
"SVC(C=100, cache_size=200, class_weight=None, coef0=0.0, degree=3, gamma=0.001, kernel='rbf', max_iter=-1, random_state=None, shrinking=True, tol=0.001, verbose=False)",1
"SVC(C = Cfactor, decision_function_shape = 'ovr', probability=True)",1
"SVC(C = 0.01, kernel = 'poly', degree = 2, gamma = 1.0, coef0 = 1.0)",1
"SVC(C=10.0, verbose=1, kernel='poly', degree=2)",1
SVC(C=1000.0),1
"SVC(kernel='rbf', C=10.0, gamma=g, random_state = 0)",1
SVC(FEATURES),1
"SVC(kernel='rbf', C=2.8, gamma=.0073)",1
"SVC(kernel='poly', C=1E-2, gamma=1E-2, degree=2)",1
"SVC(kernel='linear', C=1.0, class_weight='auto')",1
"SVC(C=10, decision_function_shape='ovr', kernel=kernel)",1
"SVC(C=C, kernel='rbf', gamma=gamma, class_weight='auto', probability=True)",1
"SVC(C=1e-10,kernel='linear')",1
"SVC(kernel=kernel, C=10000)",1
"SVC(gamma=hyper_parameter, C=1)",1
"SVC(kernel='linear', C=penality)",1
"SVC(C=1.0,gamma=0.0)",1
SVC(verbose=1),1
SVC({{loop.index0}}),1
SVC(gamma=0.03),1
"SVC(C=C, kernel=kernel, gamma=gamma, coef0=coef0, degree=poly)",1
SVC(kernel = my_kernel),1
"SVC(C=1.0, kernel='sigmoid', gamma='auto', cache_size=5000)",1
